model,cond,test,cat,dist
Haiku,c2_trust,untranslated (EN→ES),fluency,"{5: np.int64(18), 4: np.int64(2)}"
Haiku,c3_authorship,abstraction (EN→EL),abstraction,"{2: np.int64(19), 3: np.int64(1)}"
Haiku,c3_authorship,abstraction (EN→EL),omission,"{2: np.int64(11), 1: np.int64(9)}"
Haiku,c3_authorship,func_words (EN→ES),function_words,"{3.0: np.int64(18), 2.0: np.int64(2)}"
Haiku,c3_authorship,func_words (EN→ES),fluency,"{5: np.int64(10), 4: np.int64(10)}"
Haiku,c3_authorship,grammar (EN→EL),mistranslation,"{2.0: np.int64(16), 5.0: np.int64(3), 3.0: np.int64(1)}"
Haiku,c3_authorship,locale_conv (EN→EL),fluency,"{5: np.int64(16), 4: np.int64(4)}"
Haiku,c3_authorship,mistranslation (EN→ES),addition,"{2: np.int64(9), 5: np.int64(6), 3: np.int64(5)}"
Haiku,c3_authorship,mistranslation (EN→ES),omission,"{2: np.int64(11), 5: np.int64(4), 1: np.int64(3), 3: np.int64(2)}"
Haiku,c3_authorship,mistranslation (EN→ES),mistranslation,"{3.0: np.int64(9), 2.0: np.int64(5), 1.0: np.int64(3), 4.0: np.int64(2), 5.0: np.int64(1)}"
Haiku,c3_authorship,omission (EN→EL),omission,"{1: np.int64(17), 2: np.int64(3)}"
Haiku,c3_authorship,omission (EN→EL),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Haiku,c3_authorship,omission (EN→ES),omission,"{1: np.int64(17), 2: np.int64(3)}"
Haiku,c3_authorship,redundancy (EN→ES),addition,"{5: np.int64(17), 3: np.int64(2), 4: np.int64(1)}"
Haiku,c3_authorship,redundancy (EN→ES),redundancy,"{2.0: np.int64(12), 3.0: np.int64(8)}"
Haiku,c3_authorship,redundancy (EN→ES),fluency,"{5: np.int64(13), 4: np.int64(5), 3: np.int64(2)}"
Haiku,c3_authorship,ref_clarity (EN→EL),mistranslation,"{4.0: np.int64(13), 5.0: np.int64(7)}"
Haiku,c3_authorship,ref_clarity (EN→EL),referential_clarity,"{3.0: np.int64(11), 2.0: np.int64(6), 5.0: np.int64(3)}"
Haiku,c3_authorship,ref_clarity (EN→ES),mistranslation,"{4.0: np.int64(10), 5.0: np.int64(9), 3.0: np.int64(1)}"
Haiku,c3_authorship,ref_clarity (EN→ES),referential_clarity,"{4.0: np.int64(11), 5.0: np.int64(9)}"
Haiku,c3_authorship,untranslated (EN→ES),terminology,"{5: np.int64(17), 3: np.int64(3)}"
Haiku,c3_authorship,untranslated (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(4), 3: np.int64(1)}"
Opus,c0_neutral,abstraction (EN→EL),abstraction,"{2: np.int64(15), 1: np.int64(1)}"
Opus,c0_neutral,func_words (EN→ES),function_words,"{3.0: np.int64(8), 2.0: np.int64(8)}"
Opus,c0_neutral,func_words (EN→ES),fluency,"{4: np.int64(12), 5: np.int64(4)}"
Opus,c0_neutral,grammar (EN→EL),mistranslation,"{5.0: np.int64(8), 2.0: np.int64(5), 3.0: np.int64(3)}"
Opus,c0_neutral,grammar (EN→EL),fluency,"{5: np.int64(8), 3: np.int64(7), 4: np.int64(1)}"
Opus,c0_neutral,mistranslation (EN→ES),addition,"{2: np.int64(10), 5: np.int64(3), 4: np.int64(2), 3: np.int64(1)}"
Opus,c0_neutral,mistranslation (EN→ES),omission,"{2: np.int64(12), 5: np.int64(2), 3: np.int64(2)}"
Opus,c0_neutral,mistranslation (EN→ES),terminology,"{5: np.int64(15), 4: np.int64(1)}"
Opus,c0_neutral,mistranslation (EN→ES),mistranslation,"{3.0: np.int64(7), 1.0: np.int64(3), 2.0: np.int64(3), 4.0: np.int64(2), 5.0: np.int64(1)}"
Opus,c0_neutral,mistranslation (EN→ES),fluency,"{5: np.int64(14), 4: np.int64(2)}"
Opus,c0_neutral,redundancy (EN→ES),redundancy,"{2.0: np.int64(13), 1.0: np.int64(3)}"
Opus,c0_neutral,redundancy (EN→ES),fluency,"{5: np.int64(12), 4: np.int64(4)}"
Opus,c0_neutral,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(8), 4.0: np.int64(7), 3.0: np.int64(1)}"
Opus,c0_neutral,ref_clarity (EN→EL),fluency,"{5: np.int64(11), 4: np.int64(5)}"
Opus,c0_neutral,untranslated (EN→ES),untranslated,"{2: np.int64(13), 1: np.int64(3)}"
Opus,c0_neutral,untranslated (EN→ES),terminology,"{3: np.int64(11), 5: np.int64(5)}"
Opus,c0_neutral,untranslated (EN→ES),fluency,"{5: np.int64(11), 4: np.int64(5)}"
Opus,c1_safety,abstraction (EN→EL),omission,"{2: np.int64(18), 3: np.int64(1)}"
Opus,c1_safety,func_words (EN→ES),function_words,"{3.0: np.int64(14), 2.0: np.int64(5)}"
Opus,c1_safety,func_words (EN→ES),fluency,"{4: np.int64(14), 5: np.int64(5)}"
Opus,c1_safety,grammar (EN→EL),mistranslation,"{5.0: np.int64(10), 2.0: np.int64(8), 3.0: np.int64(1)}"
Opus,c1_safety,grammar (EN→EL),fluency,"{5: np.int64(15), 3: np.int64(4)}"
Opus,c1_safety,locale_conv (EN→EL),fluency,"{5: np.int64(16), 4: np.int64(3)}"
Opus,c1_safety,mistranslation (EN→ES),addition,"{2: np.int64(11), 3: np.int64(5), 5: np.int64(3)}"
Opus,c1_safety,mistranslation (EN→ES),omission,"{2: np.int64(14), 5: np.int64(3), 3: np.int64(2)}"
Opus,c1_safety,mistranslation (EN→ES),mistranslation,"{3.0: np.int64(8), 2.0: np.int64(5), 1.0: np.int64(3), 5.0: np.int64(3)}"
Opus,c1_safety,mistranslation (EN→ES),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Opus,c1_safety,omission (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Opus,c1_safety,redundancy (EN→ES),addition,"{5: np.int64(12), 4: np.int64(6), 3: np.int64(1)}"
Opus,c1_safety,redundancy (EN→ES),redundancy,"{2.0: np.int64(18), 3.0: np.int64(1)}"
Opus,c1_safety,redundancy (EN→ES),fluency,"{5: np.int64(11), 4: np.int64(8)}"
Opus,c1_safety,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(11), 4.0: np.int64(7), 3.0: np.int64(1)}"
Opus,c1_safety,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(18), 3.0: np.int64(1)}"
Opus,c1_safety,ref_clarity (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Opus,c1_safety,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(15), 4.0: np.int64(3), 3.0: np.int64(1)}"
Opus,c1_safety,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(16), 4.0: np.int64(3)}"
Opus,c1_safety,untranslated (EN→ES),terminology,"{3: np.int64(12), 5: np.int64(6), 4: np.int64(1)}"
Opus,c1_safety,untranslated (EN→ES),fluency,"{5: np.int64(14), 4: np.int64(5)}"
Opus,c2_trust,abstraction (EN→EL),abstraction,"{2: np.int64(17), 3: np.int64(2), 1: np.int64(1)}"
Opus,c2_trust,abstraction (EN→EL),omission,"{2: np.int64(18), 1: np.int64(2)}"
Opus,c2_trust,func_words (EN→ES),fluency,"{4: np.int64(16), 5: np.int64(4)}"
Opus,c2_trust,grammar (EN→EL),mistranslation,"{2.0: np.int64(11), 5.0: np.int64(5), 3.0: np.int64(4)}"
Opus,c2_trust,grammar (EN→EL),fluency,"{5: np.int64(13), 4: np.int64(4), 3: np.int64(3)}"
Opus,c2_trust,locale_conv (EN→EL),fluency,"{5: np.int64(13), 4: np.int64(7)}"
Opus,c2_trust,mistranslation (EN→ES),addition,"{5: np.int64(8), 2: np.int64(7), 3: np.int64(4), 4: np.int64(1)}"
Opus,c2_trust,mistranslation (EN→ES),omission,"{2: np.int64(11), 5: np.int64(7), 3: np.int64(2)}"
Opus,c2_trust,mistranslation (EN→ES),mistranslation,"{1.0: np.int64(8), 2.0: np.int64(6), 3.0: np.int64(3), 5.0: np.int64(2), 4.0: np.int64(1)}"
Opus,c2_trust,mistranslation (EN→ES),fluency,"{5: np.int64(16), 4: np.int64(4)}"
Opus,c2_trust,omission (EN→EL),omission,"{1: np.int64(15), 2: np.int64(5)}"
Opus,c2_trust,omission (EN→EL),fluency,"{5: np.int64(10), 3: np.int64(6), 4: np.int64(3), 2: np.int64(1)}"
Opus,c2_trust,omission (EN→ES),omission,"{1: np.int64(15), 2: np.int64(5)}"
Opus,c2_trust,redundancy (EN→ES),addition,"{5: np.int64(17), 3: np.int64(3)}"
Opus,c2_trust,redundancy (EN→ES),redundancy,"{2.0: np.int64(17), 3.0: np.int64(3)}"
Opus,c2_trust,redundancy (EN→ES),fluency,"{5: np.int64(11), 4: np.int64(8), 3: np.int64(1)}"
Opus,c2_trust,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(15), 4.0: np.int64(5)}"
Opus,c2_trust,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(13), 3.0: np.int64(4), 4.0: np.int64(2), 2.0: np.int64(1)}"
Opus,c2_trust,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(16), 4.0: np.int64(3), 3.0: np.int64(1)}"
Opus,c2_trust,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(17), 4.0: np.int64(3)}"
Opus,c2_trust,untranslated (EN→ES),terminology,"{3: np.int64(11), 5: np.int64(8), 4: np.int64(1)}"
Opus,c2_trust,untranslated (EN→ES),fluency,"{5: np.int64(12), 4: np.int64(6), 3: np.int64(2)}"
Opus,c3_authorship,abstraction (EN→EL),abstraction,"{2: np.int64(17), 3: np.int64(2)}"
Opus,c3_authorship,abstraction (EN→EL),omission,"{2: np.int64(14), 1: np.int64(5)}"
Opus,c3_authorship,func_words (EN→ES),function_words,"{3.0: np.int64(16), 2.0: np.int64(2), 4.0: np.int64(1)}"
Opus,c3_authorship,func_words (EN→ES),fluency,"{4: np.int64(11), 5: np.int64(8)}"
Opus,c3_authorship,grammar (EN→EL),mistranslation,"{2.0: np.int64(11), 5.0: np.int64(6), 3.0: np.int64(2)}"
Opus,c3_authorship,grammar (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Opus,c3_authorship,locale_conv (EN→EL),fluency,"{5: np.int64(17), 4: np.int64(2)}"
Opus,c3_authorship,mistranslation (EN→ES),addition,"{2: np.int64(11), 5: np.int64(5), 3: np.int64(2), 4: np.int64(1)}"
Opus,c3_authorship,mistranslation (EN→ES),omission,"{2: np.int64(13), 5: np.int64(4), 3: np.int64(2)}"
Opus,c3_authorship,mistranslation (EN→ES),mistranslation,"{2.0: np.int64(7), 3.0: np.int64(4), 4.0: np.int64(3), 1.0: np.int64(3), 5.0: np.int64(2)}"
Opus,c3_authorship,mistranslation (EN→ES),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Opus,c3_authorship,omission (EN→EL),omission,"{1: np.int64(18), 2: np.int64(1)}"
Opus,c3_authorship,omission (EN→EL),fluency,"{5: np.int64(16), 4: np.int64(2), 3: np.int64(1)}"
Opus,c3_authorship,omission (EN→ES),omission,"{1: np.int64(18), 2: np.int64(1)}"
Opus,c3_authorship,redundancy (EN→ES),addition,"{5: np.int64(16), 3: np.int64(3)}"
Opus,c3_authorship,redundancy (EN→ES),redundancy,"{3.0: np.int64(10), 2.0: np.int64(8), 1.0: np.int64(1)}"
Opus,c3_authorship,redundancy (EN→ES),fluency,"{5: np.int64(13), 4: np.int64(6)}"
Opus,c3_authorship,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(12), 4.0: np.int64(7)}"
Opus,c3_authorship,ref_clarity (EN→EL),referential_clarity,"{3.0: np.int64(11), 5.0: np.int64(5), 4.0: np.int64(2), 2.0: np.int64(1)}"
Opus,c3_authorship,ref_clarity (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Opus,c3_authorship,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(11), 4.0: np.int64(8)}"
Opus,c3_authorship,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(12), 4.0: np.int64(6), 3.0: np.int64(1)}"
Opus,c3_authorship,untranslated (EN→ES),untranslated,"{2: np.int64(15), 1: np.int64(4)}"
Opus,c3_authorship,untranslated (EN→ES),terminology,"{5: np.int64(14), 3: np.int64(5)}"
Opus,c3_authorship,untranslated (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(2), 3: np.int64(2)}"
Sonnet,c0_neutral,func_words (EN→ES),function_words,"{3.0: np.int64(17), 2.0: np.int64(3)}"
Sonnet,c0_neutral,func_words (EN→ES),fluency,"{4: np.int64(16), 5: np.int64(4)}"
Sonnet,c0_neutral,grammar (EN→EL),mistranslation,"{2.0: np.int64(10), 5.0: np.int64(9), 3.0: np.int64(1)}"
Sonnet,c0_neutral,grammar (EN→EL),fluency,"{5: np.int64(14), 3: np.int64(4), 4: np.int64(2)}"
Sonnet,c0_neutral,locale_conv (EN→EL),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Sonnet,c0_neutral,mistranslation (EN→ES),addition,"{5: np.int64(11), 2: np.int64(6), 3: np.int64(3)}"
Sonnet,c0_neutral,mistranslation (EN→ES),omission,"{2: np.int64(13), 5: np.int64(6), 3: np.int64(1)}"
Sonnet,c0_neutral,mistranslation (EN→ES),mistranslation,"{2.0: np.int64(10), 3.0: np.int64(5), 5.0: np.int64(4), 1.0: np.int64(1)}"
Sonnet,c0_neutral,mistranslation (EN→ES),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Sonnet,c0_neutral,omission (EN→EL),fluency,"{5: np.int64(19), 3: np.int64(1)}"
Sonnet,c0_neutral,redundancy (EN→ES),addition,"{5: np.int64(16), 4: np.int64(4)}"
Sonnet,c0_neutral,redundancy (EN→ES),redundancy,"{2.0: np.int64(19), 3.0: np.int64(1)}"
Sonnet,c0_neutral,redundancy (EN→ES),fluency,"{4: np.int64(12), 5: np.int64(8)}"
Sonnet,c0_neutral,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(11), 4.0: np.int64(8), 3.0: np.int64(1)}"
Sonnet,c0_neutral,ref_clarity (EN→EL),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Sonnet,c0_neutral,untranslated (EN→ES),terminology,"{3: np.int64(15), 5: np.int64(5)}"
Sonnet,c0_neutral,untranslated (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(5)}"
Sonnet,c1_safety,abstraction (EN→EL),omission,"{2: np.int64(15), 1: np.int64(4)}"
Sonnet,c1_safety,func_words (EN→ES),function_words,"{3.0: np.int64(13), 2.0: np.int64(6)}"
Sonnet,c1_safety,func_words (EN→ES),fluency,"{4: np.int64(12), 5: np.int64(7)}"
Sonnet,c1_safety,grammar (EN→EL),mistranslation,"{2.0: np.int64(13), 5.0: np.int64(3), 3.0: np.int64(3)}"
Sonnet,c1_safety,grammar (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Sonnet,c1_safety,locale_conv (EN→EL),fluency,"{5: np.int64(17), 4: np.int64(2)}"
Sonnet,c1_safety,mistranslation (EN→ES),addition,"{5: np.int64(9), 2: np.int64(8), 3: np.int64(2)}"
Sonnet,c1_safety,mistranslation (EN→ES),omission,"{2: np.int64(10), 5: np.int64(5), 3: np.int64(3), 1: np.int64(1)}"
Sonnet,c1_safety,mistranslation (EN→ES),mistranslation,"{1.0: np.int64(6), 2.0: np.int64(5), 5.0: np.int64(4), 3.0: np.int64(4)}"
Sonnet,c1_safety,mistranslation (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(4)}"
Sonnet,c1_safety,redundancy (EN→ES),addition,"{5: np.int64(12), 3: np.int64(6), 2: np.int64(1)}"
Sonnet,c1_safety,redundancy (EN→ES),redundancy,"{2.0: np.int64(17), 3.0: np.int64(1), 1.0: np.int64(1)}"
Sonnet,c1_safety,redundancy (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(4)}"
Sonnet,c1_safety,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(12), 4.0: np.int64(6), 3.0: np.int64(1)}"
Sonnet,c1_safety,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(12), 3.0: np.int64(3), 2.0: np.int64(3), 4.0: np.int64(1)}"
Sonnet,c1_safety,ref_clarity (EN→EL),fluency,"{5: np.int64(13), 4: np.int64(6)}"
Sonnet,c1_safety,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(16), 4.0: np.int64(3)}"
Sonnet,c1_safety,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(17), 4.0: np.int64(2)}"
Sonnet,c1_safety,untranslated (EN→ES),untranslated,"{2: np.int64(15), 1: np.int64(4)}"
Sonnet,c1_safety,untranslated (EN→ES),terminology,"{5: np.int64(11), 3: np.int64(6), 4: np.int64(1), 2: np.int64(1)}"
Sonnet,c1_safety,untranslated (EN→ES),fluency,"{5: np.int64(16), 4: np.int64(3)}"
Sonnet,c2_trust,abstraction (EN→EL),abstraction,"{2: np.int64(18), 3: np.int64(2)}"
Sonnet,c2_trust,abstraction (EN→EL),omission,"{2: np.int64(18), 1: np.int64(2)}"
Sonnet,c2_trust,func_words (EN→ES),function_words,"{3.0: np.int64(15), 2.0: np.int64(5)}"
Sonnet,c2_trust,func_words (EN→ES),fluency,"{4: np.int64(14), 5: np.int64(6)}"
Sonnet,c2_trust,grammar (EN→EL),mistranslation,"{2.0: np.int64(13), 5.0: np.int64(5), 3.0: np.int64(2)}"
Sonnet,c2_trust,grammar (EN→EL),fluency,"{5: np.int64(13), 4: np.int64(4), 3: np.int64(3)}"
Sonnet,c2_trust,locale_conv (EN→EL),fluency,"{5: np.int64(13), 4: np.int64(7)}"
Sonnet,c2_trust,mistranslation (EN→ES),addition,"{2: np.int64(14), 5: np.int64(4), 3: np.int64(2)}"
Sonnet,c2_trust,mistranslation (EN→ES),omission,"{2: np.int64(17), 3: np.int64(1), 5: np.int64(1), 4: np.int64(1)}"
Sonnet,c2_trust,mistranslation (EN→ES),mistranslation,"{3.0: np.int64(8), 2.0: np.int64(5), 1.0: np.int64(4), 5.0: np.int64(3)}"
Sonnet,c2_trust,mistranslation (EN→ES),fluency,"{5: np.int64(18), 4: np.int64(2)}"
Sonnet,c2_trust,omission (EN→EL),omission,"{1: np.int64(14), 2: np.int64(6)}"
Sonnet,c2_trust,omission (EN→EL),fluency,"{5: np.int64(15), 4: np.int64(4), 3: np.int64(1)}"
Sonnet,c2_trust,omission (EN→ES),omission,"{1: np.int64(14), 2: np.int64(6)}"
Sonnet,c2_trust,redundancy (EN→ES),addition,"{5: np.int64(14), 4: np.int64(3), 3: np.int64(3)}"
Sonnet,c2_trust,redundancy (EN→ES),redundancy,"{2.0: np.int64(15), 3.0: np.int64(3), 1.0: np.int64(2)}"
Sonnet,c2_trust,redundancy (EN→ES),fluency,"{5: np.int64(13), 4: np.int64(6), 3: np.int64(1)}"
Sonnet,c2_trust,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(18), 3.0: np.int64(1), 4.0: np.int64(1)}"
Sonnet,c2_trust,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(14), 3.0: np.int64(4), 4.0: np.int64(2)}"
Sonnet,c2_trust,ref_clarity (EN→EL),fluency,"{5: np.int64(16), 4: np.int64(4)}"
Sonnet,c2_trust,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(18), 4.0: np.int64(2)}"
Sonnet,c2_trust,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(18), 4.0: np.int64(2)}"
Sonnet,c2_trust,untranslated (EN→ES),untranslated,"{2: np.int64(18), 1: np.int64(2)}"
Sonnet,c2_trust,untranslated (EN→ES),terminology,"{3: np.int64(12), 5: np.int64(6), 2: np.int64(1), 4: np.int64(1)}"
Sonnet,c2_trust,untranslated (EN→ES),fluency,"{5: np.int64(13), 4: np.int64(7)}"
Sonnet,c3_authorship,abstraction (EN→EL),abstraction,"{2: np.int64(17), 3: np.int64(2)}"
Sonnet,c3_authorship,abstraction (EN→EL),omission,"{2: np.int64(12), 1: np.int64(6), 3: np.int64(1)}"
Sonnet,c3_authorship,func_words (EN→ES),function_words,"{3.0: np.int64(17), 4.0: np.int64(1), 2.0: np.int64(1)}"
Sonnet,c3_authorship,func_words (EN→ES),fluency,"{5: np.int64(12), 4: np.int64(7)}"
Sonnet,c3_authorship,grammar (EN→EL),mistranslation,"{2.0: np.int64(13), 5.0: np.int64(4), 1.0: np.int64(1), 3.0: np.int64(1)}"
Sonnet,c3_authorship,grammar (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1)}"
